LAT,LON,ALT,Temp,Press,AltGPS,AltBar,SpdGps
49.7179074,14.0955014,456.241,15.75,96132.25,456.24,441.52,0.00
49.7179431,14.0954841,456.275,15.75,96130.25,456.27,441.69,0.00
49.7179431,14.0954841,456.275,15.75,96130.25,456.27,441.69,0.00
49.7180063,14.0954844,457.827,15.75,96136.00,457.83,441.19,0.00
49.718044,14.0954791,457.963,15.75,96136.00,457.96,441.19,0.00
49.718044,14.0954791,457.963,15.75,96136.00,457.96,441.19,0.00
49.7180674,14.0954837,458.246,15.75,96136.00,458.25,441.19,0.00
49.7180674,14.0954837,458.246,15.81,96138.25,458.25,441.00,0.00
49.7180955,14.0956178,459.253,15.81,96138.25,459.25,441.00,0.00
49.7180955,14.0956178,459.253,15.81,96136.50,459.25,441.15,0.00
49.7181296,14.0956352,459.421,15.81,96136.50,459.42,441.15,0.00
49.7181296,14.0956352,459.421,15.81,96140.25,459.42,440.83,0.00
49.7181804,14.0956919,459.158,15.81,96144.00,459.16,440.50,0.00
49.7181804,14.0956919,459.158,15.81,96144.00,459.16,440.50,0.00
49.7182212,14.0957868,457.336,15.81,96142.75,457.34,440.61,0.00
49.7182212,14.0957868,457.336,15.81,96142.75,457.34,440.61,0.00
49.7182769,14.0958511,457.103,15.81,96142.75,457.10,440.61,0.00
49.7182769,14.0958511,457.103,15.81,96142.75,457.10,440.61,0.00
49.7183217,14.0958905,457.107,15.81,96144.75,457.11,440.43,0.00
49.7183217,14.0958905,457.107,15.81,96144.75,457.11,440.43,0.00
49.7184029,14.0959634,459.046,15.81,96144.25,459.05,440.48,0.00
49.7184506,14.0960054,459.134,15.81,96144.25,459.13,440.48,0.00
49.7184506,14.0960054,459.134,15.81,96150.25,459.13,439.96,0.00
49.7184763,14.0960597,459.369,15.81,96150.25,459.37,439.96,0.00
49.7184763,14.0960597,459.369,15.81,96148.00,459.37,440.15,0.00
49.718489,14.0961355,459.461,15.81,96148.00,459.46,440.15,0.00
49.718489,14.0961355,459.461,15.81,96150.75,459.46,439.91,0.00
49.7185344,14.0961905,459.476,15.81,96150.75,459.48,439.91,0.00
49.7185344,14.0961905,459.476,15.88,96158.25,459.48,439.26,0.00
49.7185825,14.0962436,459.428,15.88,96158.25,459.43,439.26,0.00
49.7185825,14.0962436,459.428,15.81,96150.50,459.43,439.94,0.00
49.7185688,14.0964233,459.452,15.88,96156.50,459.45,439.41,0.00
49.7185688,14.0964233,459.452,15.88,96156.50,459.45,439.41,0.00
49.7186102,14.096497,459.377,15.88,96156.50,459.38,439.41,0.00
49.7186102,14.096497,459.377,15.88,96156.50,459.38,439.41,0.00
49.7186503,14.0965714,459.432,15.88,96158.25,459.43,439.26,0.00
49.7186503,14.0965714,459.432,15.88,96158.25,459.43,439.26,0.00
49.7186607,14.0967241,462.239,15.88,96158.00,462.24,439.28,0.00
49.7186992,14.096811,462.156,15.88,96158.00,462.16,439.28,0.00
